n_individuals,n_tissues,n_tests,model,avg_secs,avg_hours,avg_days,avg_years
10,50,100,FastGxE,0.7177238869667053,1.9936774637964035e-4,8.306989432485014e-6,2.275887515749319e-8
10,50,100,LM-GxE,1.0191513061523436,2.830975850423177e-4,1.1795732710096572e-5,3.23170759180728e-8
10,50,100,LMM-GxE,46.82270650863647,0.013006307363510132,5.419294734795888e-4,1.4847382835057227e-6
10,50,100,TbT,0.7194176363945008,1.998382323318058e-4,8.326593013825241e-6,2.2812583599521208e-8
10,50,1000,FastGxE,0.786457827091217,2.1846050752533805e-4,9.102521146889085e-6,2.4938414101065987e-8
10,50,1000,LM-GxE,9.8641450881958,0.0027400403022766113,1.1416834592819213e-4,3.1278998884436203e-7
10,50,1000,LMM-GxE,446.26921634674073,0.12396367120742798,0.005165152966976166,1.4151104019112783e-5
10,50,1000,TbT,0.7875934624671936,2.187759617964427e-4,9.115665074851779e-6,2.4974424862607612e-8
10,50,10000,FastGxE,1.4824404835700986,4.117890232139163e-4,1.715787596724651e-5,4.700787936231921e-8
10,50,10000,LM-GxE,100.21561677932738,0.02783767132759094,0.0011599029719829557,3.177816361597139e-6
10,50,10000,LMM-GxE,4835.008465683461,1.3430579071342945,0.0559607461305956,1.533171126865633e-4
10,50,10000,TbT,1.4811289167404171,4.114246990945603e-4,1.714269579560668e-5,4.696628985097721e-8
10,50,100000,FastGxE,1.5413122630119322,4.281422952810923e-4,1.7839262303378846e-5,4.887469124213383e-8
10,50,100000,LM-GxE,1001.0579295158383,0.27807164708773285,0.011586318628655536,3.17433387086453e-5
10,50,100000,LMM-GxE,41713.05782089233,11.586960505803425,0.48279002107514274,0.0013227123865072405
10,50,100000,TbT,1.5355645418167112,4.265457060601976e-4,1.7772737752508232e-5,4.8692432198652694e-8
10,50,1000000,FastGxE,3.2921196579933163,9.144776827759212e-4,3.810323678233005e-5,1.0439242954063027e-7
10,50,1000000,LM-GxE,11180.925526714329,3.105812646309536,0.12940886026289733,3.545448226380749e-4
10,50,1000000,LMM-GxE,398641.9086579323,110.7338635160923,4.613910979837179,0.012640851999553915
10,50,1000000,TbT,3.302063295841217,9.17239804400338e-4,3.821832518334742e-5,1.047077402283491e-7
10,50,10000000,FastGxE,18.11318834781647,0.005031441207726797,2.0964338365528321e-4,5.743654346720088e-7
10,50,10000000,LM-GxE,90190.59841003417,25.05294400278727,1.0438726667828029,0.0028599251144734326
10,50,10000000,LMM-GxE,3636584.864816665,1010.1624624490737,42.09010260204474,0.11531534959464311
10,50,10000000,TbT,19.056359424591065,0.005293433173497519,2.205597155623966e-4,6.042731933216345e-7
50,50,100,FastGxE,0.9277542853355407,2.5770952370431685e-4,1.0737896821013201e-5,2.9418895400036168e-8
50,50,100,LM-GxE,4.200715827941894,0.0011668655077616374,4.8619396156734895e-5,1.3320382508694492e-7
50,50,100,LMM-GxE,153.29943752288818,0.042583177089691164,0.0017742990454037986,4.8610932750789005e-6
50,50,100,TbT,0.924550347328186,2.568195409244961e-4,1.0700814205187337e-5,2.9317299192294075e-8
50,50,1000,FastGxE,1.0319874978065493,2.8666319383515256e-4,1.1944299743131357e-5,3.272410888529139e-8
50,50,1000,LM-GxE,40.22404832839966,0.011173346757888796,4.655561149120332e-4,1.275496205238447e-6
50,50,1000,LMM-GxE,1331.5026738166805,0.3698618538379668,0.01541091057658195,4.222167281255329e-5
50,50,1000,TbT,1.0568782210350043,2.9357728362083455e-4,1.2232386817534772e-5,3.3513388541191156e-8
50,50,10000,FastGxE,1.1729424285888672,3.258173412746853e-4,1.3575722553111889e-5,3.719376041948463e-8
50,50,10000,LM-GxE,374.8473315024376,0.10412425875067712,0.004338510781278213,1.1886330907611543e-5
50,50,10000,LMM-GxE,12276.27318927527,3.4100758859097975,0.14208649524624156,3.892780691677851e-4
50,50,10000,TbT,1.1697915720939636,3.2494210335943434e-4,1.3539254306643098e-5,3.7093847415460544e-8
50,50,100000,FastGxE,2.3326850438117983,6.479680677254995e-4,2.699866948856248e-5,7.39689575029109e-8
50,50,100000,LM-GxE,3791.679141139984,1.0532442058722178,0.04388517524467574,1.2023335683472807e-4
50,50,100000,LMM-GxE,121263.41413192748,33.68428170331319,1.4035117376380495,0.0038452376373645193
50,50,100000,TbT,2.4599831676483155,6.833286576800877e-4,2.8472027403336986e-5,7.800555452969037e-8
50,50,1000000,FastGxE,5.4644675230979916,0.0015179076453049978,6.324615188770825e-5,1.7327712845947465e-7
50,50,1000000,LM-GxE,20493.636490631103,5.692676802953084,0.23719486678971183,6.498489501087995e-4
50,50,1000000,LMM-GxE,965019.8713128087,268.0610753646691,11.169211473527879,0.030600579379528436
50,50,1000000,TbT,5.568477251529694,0.001546799236536026,6.444996818900108e-5,1.7657525531233173e-7
50,50,10000000,FastGxE,16.097045490741728,0.004471401525206036,1.8630839688358483e-4,5.10433964064616e-7
50,50,10000000,LM-GxE,305144.8085698128,84.762446824948,3.5317686177061667,0.009676078404674429
50,50,10000000,LMM-GxE,9272184.013819313,2575.606670505365,107.3169446043902,0.2940190263133978
50,50,10000000,TbT,16.127912662029264,0.004479975739452574,1.866656558105239e-4,5.11412755645271e-7
250,50,100,FastGxE,1.0895288181304932,3.02646893925137e-4,1.2610287246880708e-5,3.454873218323482e-8
250,50,100,LM-GxE,41.87695283889771,0.011632486899693808,4.846869541539087e-4,1.3279094634353662e-6
250,50,100,LMM-GxE,544.8798285484314,0.15135550793011984,0.0063064794970883265,1.7278026019420074e-5
250,50,100,TbT,1.0903147840499878,3.028652177916633e-4,1.2619384074652638e-5,3.457365499904833e-8
250,50,1000,FastGxE,1.0293819522857663,2.859394311904906e-4,1.1914142966270443e-5,3.264148757882313e-8
250,50,1000,LM-GxE,1914.660288047791,0.5318500800132753,0.022160420000553138,6.071347945357024e-5
250,50,1000,LMM-GxE,6985.924548053742,1.940534596681595,0.08085560819506646,2.215222142330588e-4
250,50,1000,TbT,0.999975256919861,2.777709046999614e-4,1.1573787695831725e-5,3.1709007385840344e-8
250,50,10000,FastGxE,1.8010995626449582,5.003054340680439e-4,2.0846059752835163e-5,5.7112492473521e-8
250,50,10000,LM-GxE,3735.6657008028023,1.0376849168896674,0.043236871537069475,1.1845718229334103e-4
250,50,10000,LMM-GxE,48099.88701998949,13.361079727774857,0.5567116553239524,0.001525237411846445
250,50,10000,TbT,1.830334174633026,5.08426159620285e-4,2.1184423317511872e-5,5.803951593838869e-8
250,50,100000,FastGxE,3.3115049934387213,9.198624981774226e-4,3.832760409072594e-5,1.0500713449513957e-7
250,50,100000,LM-GxE,32122.101575088498,8.92280599308014,0.3717835830450058,0.0010185851590274132
250,50,100000,LMM-GxE,443111.61473436357,123.08655964843433,5.128606652018097,0.014050977128816703
250,50,100000,TbT,3.4553626394271846,9.598229553964402e-4,3.999262314151834e-5,1.0956883052470778e-7
250,50,1000000,FastGxE,8.899644722938538,0.0024721235341495936,1.0300514725623307e-4,2.8220588289378925e-7
250,50,1000000,LM-GxE,284580.9011338234,79.05025031495094,3.293760429789623,0.009024001177505816
250,50,1000000,LMM-GxE,4396111.381860351,1221.1420505167641,50.88091877153184,0.13939977745625162
250,50,1000000,TbT,8.954676504135133,0.002487410140037537,1.0364208916823071e-4,2.8395092922802935e-7
250,50,10000000,FastGxE,39.449050216674806,0.01095806950463189,4.5658622935966205e-4,1.2509211763278413e-6
250,50,10000000,LM-GxE,1704153.9529701234,473.37609804725645,19.72400408530235,0.054038367356992745
250,50,10000000,LMM-GxE,54242273.57275458,15067.298214654049,627.804092277252,1.7200112117184987
250,50,10000000,TbT,39.38618588447571,0.010940607190132142,4.558586329221726e-4,1.2489277614306098e-6
1000,50,100,FastGxE,1.2329260826110842,3.424794673919678e-4,1.426997780799866e-5,3.909582961095523e-8
1000,50,100,LM-GxE,125.72094039916993,0.03492248344421387,0.0014551034768422446,3.986584868060944e-6
1000,50,100,LMM-GxE,2185.3343516349796,0.6070373198986054,0.025293221662441894,6.929649770532026e-5
1000,50,100,TbT,1.2768918132781986,3.5469217035505513e-4,1.477884043146063e-5,4.0489973784823647e-8
1000,50,1000,FastGxE,2.500482320785522,6.945784224404228e-4,2.8940767601684283e-5,7.928977425118982e-8
1000,50,1000,LM-GxE,10010.8248922348,2.7807846922874444,0.11586602884531018,3.17441174918658e-4
1000,50,1000,LMM-GxE,39704.89847545624,11.029138465404511,0.4595474360585213,0.001259034071393209
1000,50,1000,TbT,2.5300272297859188,7.027853416071997e-4,2.9282722566966653e-5,8.022663716977165e-8
1000,50,10000,FastGxE,3.740250186920165,0.0010389583852556015,4.328993271898339e-5,1.1860255539447506e-7
1000,50,10000,LM-GxE,55090.168713955885,15.302824642765524,0.6376176934485634,0.0017468977902700368
1000,50,10000,LMM-GxE,259252.64353396656,72.01462320387961,3.0006093001616505,0.008220847397703152
1000,50,10000,TbT,3.759711308479309,0.0010443642523553637,4.3515177181473485e-5,1.1921966351088625e-7
1000,50,100000,FastGxE,11.72801084041595,0.0032577807890044304,1.3574086620851794e-4,3.7189278413292585e-7
1000,50,100000,LM-GxE,679168.4107749941,188.6578918819428,7.860745495080949,0.02153628902761904
1000,50,100000,LMM-GxE,3113924.665304375,864.9790736956597,36.04079473731915,0.0987419033899155
1000,50,100000,TbT,11.768136894702911,0.003268926915195253,1.3620528813313554e-4,3.7316517296749465e-7
1000,50,1000000,FastGxE,26.87848538637161,0.007466245940658781,3.110935808607825e-4,8.523111804405e-7
1000,50,1000000,LM-GxE,3463454.111004066,962.0705863900184,40.086274432917435,0.10982540940525325
1000,50,1000000,LMM-GxE,21360183.468840122,5933.384296900034,247.2243457041681,0.6773269745319673
1000,50,1000000,TbT,26.734787967205044,0.007426329990890291,3.094304162870954e-4,8.477545651701244e-7
1000,50,10000000,FastGxE,153.04015585184095,0.04251115440328915,0.0017712981001370479,4.852871507224789e-6
1000,50,10000000,LM-GxE,511089464.32322824,141969.2956453412,5915.387318555883,16.206540598783242
1000,50,10000000,LMM-GxE,1211464359.1619587,336517.8775449885,14021.578231041189,38.41528282477038
1000,50,10000000,TbT,156.0673287677765,0.04335203576882681,0.0018063348237011172,4.948862530687993e-6
